u.site...c..transect...,Gr.3,Gr.4,Gr.5,Gr.6,Gr.7,Gr.8,Gr.9,Gr.10,Gr.11,Gr.12,Gr.13,Gr.14,Gr.15
06_001,1,1,1,1,1,1,1,1,1,1,1,1,1
06_002,1,1,1,1,1,1,1,1,1,1,1,1,1
06_003,1,1,1,1,1,1,1,1,1,1,1,1,1
06_004,1,1,1,1,1,1,1,1,1,1,1,1,1
06_005,1,1,1,1,1,1,1,1,1,1,1,1,1
06_006,1,1,1,1,1,1,1,1,1,1,1,1,1
06_007,1,1,1,1,1,1,1,1,1,1,1,1,1
06_008,1,1,1,1,1,1,1,1,1,1,1,1,1
06_009,1,1,1,1,1,1,1,1,1,1,1,1,1
06_010,1,1,1,1,1,1,1,1,1,1,1,1,1
06_011,1,1,1,1,1,1,1,1,1,1,1,1,1
06_012,1,1,1,1,1,1,1,1,1,1,1,1,1
06_013,1,1,1,1,1,1,1,1,1,1,1,1,1
06_014,1,1,1,1,1,1,1,1,1,1,1,1,1
06_015,1,1,1,1,1,1,1,1,1,1,1,1,1
06_016,1,2,2,2,2,2,2,2,2,2,2,2,2
06_017,1,2,2,2,2,2,2,2,2,2,2,2,2
06_018,1,2,2,2,2,2,2,2,2,2,2,2,2
06_019,1,2,2,2,2,2,2,2,2,2,2,2,2
06_020,1,2,2,2,2,2,2,2,2,2,2,2,2
06_021,1,2,2,2,2,2,2,2,2,2,2,2,2
06_022,1,2,2,2,2,2,2,2,2,2,2,2,2
06_023,1,2,2,2,2,2,2,2,2,2,2,2,2
06_024,1,2,2,2,2,2,2,2,2,2,2,2,2
06_025,1,2,2,2,2,2,2,2,2,2,2,2,2
06_026,1,2,2,2,2,2,2,2,2,2,2,2,2
06_027,1,2,2,2,2,2,2,2,2,2,2,2,2
06_028,1,2,2,2,2,2,2,2,2,2,2,2,2
06_029,1,2,2,2,2,2,2,2,2,2,2,2,2
06_030,1,2,2,2,2,2,2,2,2,2,2,2,2
06_031,1,2,2,2,2,2,2,2,2,2,2,2,2
06_032,1,2,2,2,2,2,2,2,2,2,2,2,2
06_033,1,2,2,2,2,2,2,2,2,2,2,2,2
06_034,1,2,2,2,2,2,2,2,2,2,2,2,2
06_035,1,2,2,2,2,2,2,2,2,2,2,2,2
06_036,1,2,2,2,2,2,2,2,2,2,2,2,2
06_037,1,2,2,2,2,2,2,2,2,2,2,2,2
06_038,1,2,2,2,2,2,2,2,2,2,2,2,2
06_039,1,2,2,2,2,2,2,2,2,2,2,2,2
06_040,1,2,2,2,2,2,2,2,2,2,2,2,2
06_041,1,2,2,2,2,2,2,2,2,2,2,2,2
06_042,1,2,2,2,2,2,2,2,2,2,2,2,2
06_043,1,2,2,2,2,2,2,2,2,2,2,2,2
06_045,1,2,2,2,2,2,2,2,2,2,2,2,2
06_046,1,2,2,2,2,2,2,2,2,2,2,2,2
06_047,1,2,2,2,2,2,2,2,2,2,2,2,2
06_048,1,2,2,2,2,2,2,2,2,2,2,2,2
06_049,1,2,2,2,2,2,2,2,2,2,2,2,2
06_050,1,2,2,2,2,2,2,2,2,2,2,2,2
06_051,1,2,2,2,2,2,2,2,2,2,2,2,2
06_052,1,2,2,2,2,2,2,2,2,2,2,2,2
06_053,1,2,2,2,2,2,2,2,2,2,2,2,2
06_054,1,2,2,2,2,2,2,2,2,2,2,2,2
06_055,1,2,2,2,2,2,2,2,2,2,2,2,2
06_056,1,2,2,2,2,2,2,2,2,2,2,2,2
06_057,1,2,2,2,2,2,2,2,2,2,2,2,2
06_058,1,2,2,2,2,2,2,2,2,2,2,2,2
06_059,1,2,2,2,2,2,2,2,2,2,2,2,2
06_060,1,2,2,2,2,2,2,2,2,2,2,2,2
06_061,1,2,2,2,2,2,2,2,2,2,2,2,2
06_062,1,2,2,2,2,2,2,2,2,2,2,2,2
06_063,1,2,2,2,2,2,2,2,2,2,2,2,2
06_064,1,2,2,2,2,2,2,2,2,2,2,2,2
06_065,1,2,2,2,2,2,2,2,2,2,2,2,2
06_066,1,2,2,2,2,2,2,2,2,2,2,2,2
06_067,1,2,2,2,2,2,2,2,2,2,2,2,2
06_068,1,2,2,2,2,2,2,2,2,2,2,2,2
06_069,1,2,2,2,2,2,2,2,2,2,2,2,2
06_070,1,2,2,2,2,2,2,2,2,2,2,2,2
06_071,1,2,2,2,2,2,2,2,2,2,2,2,2
06_072,1,2,2,2,2,2,2,2,2,2,2,2,2
06_073,1,2,2,2,2,2,2,2,2,2,2,2,2
06_074,1,2,2,2,2,2,2,2,2,2,2,2,2
06_075,1,2,2,2,2,2,2,2,2,2,2,2,2
06_076,1,2,2,2,2,2,2,2,2,2,2,2,2
06_077,1,2,2,2,2,2,2,2,2,2,2,2,2
06_078,1,2,2,2,2,2,2,2,2,2,2,2,2
06_079,1,2,2,2,2,2,2,2,2,2,2,2,2
06_080,1,2,2,2,2,2,2,2,2,2,2,2,2
06_081,1,2,2,2,2,2,2,2,2,2,2,2,2
06_082,1,2,2,2,2,2,2,2,2,2,2,2,2
06_083,1,2,2,2,2,2,2,2,2,2,2,2,2
06_084,1,2,2,2,2,2,2,2,2,2,2,2,2
06_085,1,2,2,2,2,2,2,2,2,2,2,2,2
06_086,1,2,2,2,2,2,2,2,2,2,2,2,2
06_087,1,2,2,2,2,2,2,2,2,2,2,2,2
06_088,1,2,2,2,2,2,2,2,2,2,2,2,2
06_089,1,2,3,3,3,3,3,3,3,3,3,3,3
06_090,1,2,3,3,3,3,3,3,3,3,3,3,3
06_091,1,2,3,3,3,3,3,3,3,3,3,3,3
06_092,1,2,3,3,3,3,3,3,3,3,3,3,3
06_093,1,2,3,3,3,3,3,3,3,3,3,3,3
06_094,1,2,3,3,3,3,3,3,4,4,4,4,4
06_095,1,2,3,3,3,3,3,3,4,4,4,4,4
06_096,1,2,3,3,3,3,3,3,4,4,4,4,4
06_097,1,2,3,3,3,3,3,3,4,4,4,4,4
06_098,1,2,3,3,3,3,3,3,4,4,4,4,4
06_099,1,2,3,3,3,3,3,3,4,4,4,4,4
06_100,1,2,3,3,3,3,3,3,4,4,4,4,4
09_001,1,1,1,1,1,1,1,1,1,1,1,1,1
09_002,1,1,1,1,1,1,1,1,1,1,1,1,1
09_003,1,1,1,1,1,1,1,1,1,1,1,1,1
09_004,1,1,1,1,1,1,1,1,1,1,1,1,1
09_005,1,1,1,1,1,1,1,1,1,1,1,1,1
09_006,1,1,1,1,1,1,1,1,1,1,1,1,1
09_007,1,1,1,1,1,1,1,1,1,1,1,1,1
09_008,1,1,1,1,1,1,1,1,1,1,1,1,1
09_009,1,1,1,1,1,1,1,1,1,1,1,1,1
09_010,1,1,1,1,1,1,1,1,1,1,1,1,1
09_011,1,1,1,1,1,1,1,1,1,1,1,1,1
09_012,1,1,1,1,1,1,1,1,1,1,1,1,1
09_013,1,1,1,1,1,1,1,1,1,1,1,1,1
09_014,1,1,1,1,1,1,1,1,1,1,1,1,1
09_015,1,1,1,1,1,1,1,1,1,1,1,1,1
09_016,1,1,1,1,1,1,1,1,1,1,1,1,1
09_017,1,1,1,1,1,1,1,1,1,1,1,1,1
09_018,1,1,1,1,1,1,1,1,1,1,1,1,1
09_020,1,2,2,2,2,2,2,2,2,2,2,2,2
09_021,1,2,2,2,2,2,2,2,2,2,2,2,2
09_023,1,2,2,2,2,2,2,2,2,2,2,2,2
09_024,1,2,2,2,2,2,2,2,2,2,2,2,2
09_025,1,2,2,2,2,2,2,2,2,2,2,2,2
09_026,1,2,2,2,2,2,2,2,2,2,2,2,2
09_027,1,2,2,2,2,2,2,2,2,2,2,2,2
09_028,1,2,2,2,2,2,2,2,2,2,2,2,2
09_029,1,2,2,2,2,2,2,2,2,2,2,2,2
09_030,1,2,2,2,2,2,2,2,2,2,2,2,2
09_031,1,2,2,2,2,2,2,2,2,2,2,2,2
09_032,1,2,2,2,2,2,2,2,2,2,2,2,2
09_033,1,2,2,2,2,2,2,2,2,2,2,2,2
09_034,1,2,2,2,2,2,2,2,2,2,2,2,2
09_035,1,2,2,2,2,2,2,2,2,2,2,2,2
09_036,1,2,2,2,2,2,2,2,2,2,2,2,2
09_037,1,2,2,2,2,2,2,2,2,2,2,2,2
09_038,1,2,2,2,2,2,2,2,2,2,2,2,2
09_039,1,2,2,2,2,2,2,2,2,2,2,2,2
09_040,1,2,2,2,2,2,2,2,2,2,2,2,2
09_041,1,2,2,2,2,2,2,2,2,2,2,2,2
09_042,1,2,2,2,2,2,2,2,2,2,2,2,2
09_043,1,2,2,2,2,2,2,2,2,2,2,2,2
09_044,1,2,2,2,2,2,2,2,2,2,2,2,2
09_045,1,2,2,2,2,2,2,2,2,2,2,2,2
09_046,1,2,2,2,2,2,2,2,2,2,2,2,2
09_047,1,2,2,2,2,2,2,2,2,2,2,2,2
09_048,1,2,2,2,2,2,2,2,2,2,2,2,2
09_049,1,2,2,2,2,2,2,2,2,2,2,2,2
09_050,1,2,2,2,2,2,2,2,2,2,2,2,2
09_051,1,2,2,2,2,2,2,2,2,2,2,2,2
09_052,1,2,2,2,2,2,2,2,2,2,2,2,2
09_053,1,2,2,2,2,2,2,2,2,2,2,2,2
09_054,1,2,2,2,2,2,2,2,2,2,2,2,2
09_055,1,2,2,2,2,2,2,2,2,2,2,2,2
09_056,1,2,2,2,2,2,2,2,2,2,2,2,2
09_057,1,2,2,2,2,2,2,2,2,2,2,2,2
09_058,1,2,2,2,2,2,2,2,2,2,2,2,2
09_059,1,2,2,2,2,2,2,2,2,2,2,2,2
09_060,1,2,3,3,3,3,3,3,3,3,3,3,3
09_061,1,2,3,3,3,3,3,3,3,3,3,3,3
09_062,1,2,3,3,3,3,3,3,3,3,3,3,3
09_063,1,2,3,3,3,3,3,3,3,3,3,3,3
09_064,1,2,3,3,3,3,3,3,3,3,3,3,3
09_065,1,2,3,3,3,3,3,3,3,3,3,3,3
09_066,1,2,3,3,3,3,3,3,3,3,3,3,3
09_067,1,2,3,3,3,3,3,3,3,3,3,3,3
09_068,1,2,3,3,3,3,3,3,3,3,3,3,3
09_069,1,2,3,3,3,3,3,3,3,3,3,3,3
09_070,1,2,3,3,3,3,3,3,3,3,3,3,3
09_071,1,2,3,3,3,3,3,3,3,3,3,3,3
09_072,1,2,3,3,3,3,3,3,3,3,3,3,3
09_073,1,2,3,3,3,3,3,3,3,3,3,3,3
09_074,1,2,3,3,3,3,3,3,3,3,3,3,3
09_075,1,2,3,3,3,3,3,3,3,3,3,3,3
09_076,1,2,3,3,3,3,3,3,3,3,3,3,3
09_077,1,2,3,3,3,3,3,3,3,3,3,3,3
09_078,1,2,3,3,3,3,3,3,3,3,3,3,3
09_079,1,2,3,3,3,3,3,3,3,3,3,3,3
09_080,1,2,3,3,3,3,3,3,3,3,3,3,3
09_081,1,2,3,3,3,3,3,3,3,3,3,3,3
09_082,1,2,3,3,3,3,3,3,3,3,3,3,3
09_083,1,2,3,3,3,3,3,3,3,3,3,3,3
09_084,1,2,3,3,3,3,3,3,3,3,3,3,3
09_085,1,2,3,3,3,3,3,3,3,3,3,3,3
09_086,1,2,3,3,3,3,3,3,3,3,3,3,3
09_087,1,2,3,3,3,3,3,3,3,3,3,3,3
09_088,1,2,3,3,3,3,3,3,3,3,3,3,3
09_089,1,2,3,3,3,3,3,3,3,3,3,3,3
09_090,1,2,3,3,3,3,3,3,3,3,3,3,3
09_091,1,2,3,3,3,3,3,3,3,3,3,3,3
09_092,1,2,3,3,3,3,3,3,3,3,3,3,3
09_093,1,2,3,3,3,3,3,3,3,3,3,3,3
09_094,1,2,3,3,3,3,3,3,3,3,3,3,3
09_095,1,2,3,3,3,3,3,3,3,3,3,3,3
09_096,1,2,3,3,3,3,3,3,4,4,4,4,4
09_097,1,2,3,3,3,3,3,3,4,4,4,4,4
09_098,1,2,3,3,3,3,3,3,4,4,4,4,4
09_099,1,2,3,3,3,3,3,3,4,4,4,4,4
09_100,1,2,3,3,3,3,3,3,4,4,4,4,4
12_002,1,1,1,1,1,1,1,1,1,1,1,1,1
12_003,1,1,1,1,1,1,1,1,1,1,1,1,1
12_004,1,2,2,2,2,2,2,2,2,2,2,2,2
12_005,1,2,2,2,2,2,2,2,2,2,2,2,2
12_006,1,2,2,2,2,2,2,2,2,2,2,2,2
12_007,1,2,2,2,2,2,2,2,2,2,2,2,2
12_008,1,2,2,2,2,2,2,2,2,2,2,2,2
12_009,1,2,2,2,2,2,2,2,2,2,2,2,2
12_010,1,2,2,2,2,2,2,2,2,2,2,2,2
12_011,1,2,2,2,2,2,2,2,2,2,2,2,2
12_012,1,2,2,2,2,2,2,2,2,2,2,2,2
12_013,1,2,2,2,2,2,2,2,2,2,2,2,2
12_014,1,2,2,2,2,2,2,2,2,2,2,2,2
12_015,1,2,2,2,2,2,2,2,2,2,2,2,2
12_016,1,2,2,2,2,2,2,2,2,2,2,2,2
12_017,1,2,2,2,2,2,2,2,2,2,2,2,2
12_018,1,2,2,2,2,2,2,2,2,2,2,2,2
12_019,1,2,2,2,2,2,2,2,2,2,2,2,2
12_020,1,2,2,2,2,2,2,2,2,2,2,2,2
12_021,1,2,2,2,2,2,2,2,2,2,2,2,2
12_022,1,2,2,2,2,2,2,2,2,2,2,2,2
12_023,1,2,2,2,2,2,2,2,2,2,2,2,2
12_024,1,2,2,2,2,2,2,2,2,2,2,2,2
12_025,1,2,2,2,2,2,2,2,2,2,2,2,2
12_026,1,2,2,2,2,2,2,2,2,2,2,2,2
12_027,1,2,2,2,2,2,2,2,2,2,2,2,2
12_028,1,2,2,2,2,2,2,2,2,2,2,2,2
12_029,1,2,2,2,2,2,2,2,2,2,2,2,2
12_030,1,2,2,2,2,2,2,2,2,2,2,2,2
12_031,1,2,2,2,2,2,2,2,2,2,2,2,2
12_032,1,2,2,2,2,2,2,2,2,2,2,2,2
12_033,1,2,2,2,2,2,2,2,2,2,2,2,2
12_034,1,2,2,2,2,2,2,2,2,2,2,2,2
12_035,1,2,2,2,2,2,2,2,2,2,2,2,2
12_036,1,2,2,2,2,2,2,2,2,2,2,2,2
12_037,1,2,2,2,2,2,2,2,2,2,2,2,2
12_038,1,2,2,2,2,2,2,2,2,2,2,2,2
12_039,1,2,2,2,2,2,2,2,2,2,2,2,2
12_040,1,2,2,2,2,2,2,2,2,2,2,2,2
12_041,1,2,2,2,2,2,2,2,2,2,2,2,2
12_042,1,2,2,2,2,2,2,2,2,2,2,2,2
12_043,1,2,2,2,2,2,2,2,2,2,2,2,2
12_044,1,2,2,2,2,2,2,2,2,2,2,2,2
12_045,1,2,2,2,2,2,2,2,2,2,2,2,2
12_046,1,2,2,2,2,2,2,2,2,2,2,2,2
12_047,1,2,2,2,2,2,2,2,2,2,2,2,2
12_048,1,2,2,2,2,2,2,2,2,2,2,2,2
12_049,1,2,2,2,2,2,2,2,2,2,2,2,2
12_050,1,2,2,2,2,2,2,2,2,2,2,2,2
12_051,1,2,2,2,2,2,2,2,2,2,2,2,2
12_052,1,2,2,2,2,2,2,2,2,2,2,2,2
12_053,1,2,2,2,2,2,2,2,2,2,2,2,2
12_054,1,2,2,2,2,2,2,2,2,2,2,2,2
12_055,1,2,2,2,2,2,2,2,2,2,2,2,2
12_056,1,2,2,2,2,2,2,2,2,2,5,5,5
12_057,1,2,2,2,2,2,2,2,2,2,5,5,5
12_058,1,2,2,2,2,2,2,2,2,2,5,5,5
12_059,1,2,2,2,2,2,2,2,2,2,2,2,2
12_060,1,2,2,2,2,2,2,2,2,2,2,2,2
12_061,1,2,2,2,2,2,2,2,2,2,2,2,2
12_062,1,2,2,2,2,2,2,2,2,2,2,2,2
12_063,1,2,3,3,3,3,3,3,3,3,3,3,3
12_064,1,2,3,3,3,3,3,3,3,3,3,3,3
12_065,1,2,3,3,3,3,3,3,3,3,3,3,3
12_066,1,2,3,3,3,3,3,3,3,3,3,3,3
12_067,1,2,3,3,3,3,3,3,3,3,3,3,3
12_068,1,2,3,3,3,3,3,3,3,3,3,3,3
12_069,1,2,3,3,3,3,3,3,3,3,3,3,3
12_070,2,3,4,4,4,4,4,4,5,5,6,6,6
12_071,2,3,4,4,4,4,4,4,5,5,6,6,6
12_072,2,3,4,4,4,4,4,4,5,5,6,6,6
12_073,2,3,4,4,4,4,4,4,5,5,6,6,6
12_074,2,3,4,4,4,4,4,4,5,5,6,6,6
12_075,2,3,4,4,4,4,4,4,5,5,6,6,6
12_076,2,3,4,4,4,4,4,4,5,5,6,6,6
12_077,2,3,4,4,4,4,4,4,5,5,6,6,6
12_078,2,3,4,4,4,4,4,4,5,5,6,6,6
12_079,2,3,4,4,4,4,4,4,5,5,6,6,6
12_080,2,3,4,4,4,4,4,4,5,5,6,6,6
12_081,2,3,4,4,4,4,4,4,5,5,6,6,6
12_082,2,3,4,4,4,4,4,4,5,5,6,6,6
12_083,2,3,4,4,4,4,4,4,5,5,6,6,6
12_084,2,3,4,4,4,4,4,4,5,5,6,6,6
12_085,2,3,4,4,4,4,4,4,5,5,6,6,6
12_086,2,3,4,4,4,4,4,5,6,6,7,7,7
12_087,2,3,4,4,4,4,4,5,6,6,7,7,7
12_088,2,3,4,4,4,4,4,5,6,6,7,7,7
12_089,2,3,4,4,4,4,4,5,6,6,7,7,7
12_090,2,3,4,4,4,4,4,5,6,6,7,7,7
12_091,2,3,4,4,4,4,4,5,6,6,7,7,7
12_092,2,3,4,4,4,4,4,5,6,6,7,7,7
12_093,2,3,4,4,4,4,4,5,6,6,7,7,7
12_094,2,3,4,4,4,4,4,4,5,5,6,6,6
12_095,2,3,4,4,4,4,4,4,5,5,6,6,6
12_096,2,3,4,4,4,4,4,4,5,5,6,6,6
12_097,2,3,4,4,4,4,4,4,5,5,6,6,6
12_098,2,3,4,4,4,4,4,4,5,5,6,6,6
12_099,2,3,4,4,4,4,4,4,5,5,6,6,6
12_100,2,3,4,4,4,4,4,4,5,5,6,6,6
15_001,1,1,1,1,1,1,1,1,1,1,1,1,1
15_002,1,1,1,1,1,1,1,1,1,1,1,1,1
15_003,1,1,1,1,1,1,1,1,1,1,1,1,1
15_004,1,1,1,1,1,1,1,1,1,1,1,1,1
15_005,1,1,1,1,1,1,1,1,1,1,1,1,1
15_006,1,2,2,2,2,2,2,2,2,2,2,2,2
15_007,1,2,2,2,2,2,2,2,2,2,2,2,2
15_008,1,2,2,2,2,2,2,2,2,2,2,2,2
15_009,1,2,2,2,2,2,2,2,2,2,2,2,2
15_010,1,2,2,2,2,2,2,2,2,2,2,2,2
15_011,1,2,2,2,2,2,2,2,2,2,2,2,2
15_012,1,2,2,2,2,2,2,2,2,2,2,2,2
15_013,1,2,2,2,2,2,2,2,2,2,2,2,2
15_014,1,2,2,2,2,2,2,2,2,2,2,2,2
15_015,1,2,2,2,2,2,2,2,2,2,2,2,2
15_016,1,2,2,2,2,2,2,2,2,2,2,2,2
15_017,1,2,2,2,2,2,2,2,2,2,2,2,2
15_018,1,2,2,2,2,2,2,2,2,2,2,2,2
15_019,1,2,2,2,2,2,2,2,2,2,2,2,2
15_020,1,2,2,2,2,2,2,2,2,2,2,2,2
15_021,1,2,2,2,2,2,2,2,2,2,2,2,2
15_022,1,2,2,2,2,2,2,2,2,2,2,2,2
15_023,1,2,2,2,2,2,2,2,2,2,2,2,2
15_024,1,2,2,2,2,2,2,2,2,2,2,2,2
15_025,1,2,2,2,2,2,2,2,2,2,2,2,2
15_026,1,2,2,2,2,2,2,2,2,2,2,2,2
15_027,1,2,2,2,2,2,2,2,2,2,2,2,2
15_028,1,2,2,2,2,2,2,2,2,2,2,2,2
15_029,1,2,2,2,2,2,2,2,2,2,2,2,2
15_030,1,2,2,2,2,2,2,2,2,2,2,2,2
15_031,1,2,2,2,2,2,2,2,2,7,8,8,8
15_032,1,2,2,2,2,2,2,2,2,7,8,8,8
15_033,1,2,2,2,2,2,2,2,2,7,8,8,8
15_034,1,2,2,2,2,2,2,2,2,7,8,8,8
15_035,1,2,2,2,2,2,2,2,2,7,8,8,8
15_036,1,2,2,2,2,2,2,2,2,7,8,8,8
15_037,1,2,2,2,2,2,2,2,2,7,8,8,8
15_038,1,2,2,2,2,2,2,2,2,7,8,8,8
15_039,1,2,2,2,2,2,2,2,2,7,8,8,8
15_040,1,2,2,2,2,2,2,2,2,7,8,8,8
15_041,1,2,2,2,2,2,2,2,2,7,8,8,8
15_042,1,2,2,2,2,2,2,2,2,7,8,8,8
